time, tp_a, tp_b, diff
11132,0.02,0.06,-0.04
11156,0.0,0.06,-0.05
11181,0.0,0.05,-0.05
11204,0.01,0.05,-0.04
11228,0.01,0.06,-0.04
11252,0.0,0.05,-0.04
11276,0.0,0.05,-0.05
11300,0.01,0.06,-0.05
11324,0.02,0.06,-0.04
11347,0.01,0.06,-0.04
11372,0.01,0.05,-0.04
11396,0.01,0.05,-0.03
11419,0.02,0.05,-0.03
11444,0.01,0.04,-0.03
11467,0.01,0.05,-0.04
11491,0.01,0.05,-0.04
11515,0.0,0.05,-0.04
11539,0.01,0.05,-0.04
11563,0.01,0.06,-0.05
11587,0.02,0.06,-0.04
11611,0.01,0.06,-0.05
11635,0.01,0.04,-0.03
11659,0.01,0.05,-0.04
11682,0.01,0.06,-0.04
11707,0.0,0.05,-0.05
11730,0.01,0.04,-0.03
11754,0.01,0.05,-0.04
11779,0.02,0.05,-0.03
11802,0.01,0.05,-0.04
11826,0.0,0.05,-0.05
11850,0.0,0.04,-0.04
11874,0.02,0.06,-0.04
11897,0.01,0.05,-0.03
11922,0.01,0.04,-0.03
11945,0.01,0.05,-0.04
11970,0.01,0.05,-0.04
11994,0.0,0.04,-0.04
12017,0.01,0.05,-0.03
12042,0.02,0.05,-0.03
12065,0.01,0.06,-0.05
12089,0.0,0.05,-0.05
12113,0.01,0.05,-0.04
12137,0.01,0.04,-0.03
12161,0.01,0.05,-0.04
12185,0.01,0.05,-0.04
12209,0.01,0.05,-0.04
12233,0.02,0.06,-0.04
12257,0.0,0.05,-0.05
12280,0.01,0.05,-0.04
12305,0.01,0.05,-0.04
12328,0.0,0.05,-0.04
12352,0.0,0.05,-0.05
12377,0.01,0.05,-0.04
12400,0.02,0.05,-0.03
12424,0.02,0.04,-0.02
12448,0.01,0.05,-0.04
12472,0.01,0.05,-0.04
12495,0.01,0.05,-0.04
12520,0.0,0.05,-0.04
12544,0.01,0.04,-0.03
12568,0.01,0.06,-0.05
12592,0.02,0.06,-0.04
12615,0.0,0.05,-0.05
12640,0.01,0.05,-0.04
12663,0.02,0.06,-0.04
12687,0.01,0.06,-0.04
12711,0.0,0.06,-0.05
12735,0.0,0.05,-0.04
12759,0.02,0.05,-0.03
12783,0.01,0.06,-0.05
12807,0.0,0.05,-0.05
12831,0.01,0.05,-0.04
12855,0.01,0.05,-0.03
12878,0.01,0.06,-0.05
12903,0.01,0.05,-0.04
12926,0.01,0.05,-0.04
12950,0.01,0.05,-0.03
12975,0.01,0.06,-0.05
12998,0.0,0.05,-0.05
13022,0.01,0.04,-0.03
13046,0.02,0.05,-0.03
13070,0.0,0.06,-0.05
13093,0.01,0.05,-0.04
13118,0.02,0.05,-0.03
13142,0.01,0.06,-0.05
13166,0.01,0.06,-0.05
13190,0.01,0.05,-0.04
13213,0.01,0.05,-0.04
13238,0.02,0.04,-0.02
13261,0.01,0.05,-0.04
13285,0.01,0.05,-0.03
13309,0.03,0.06,-0.03
13333,0.01,0.06,-0.05
13357,0.01,0.04,-0.03
13381,0.01,0.06,-0.05
13405,0.01,0.05,-0.04
13428,0.0,0.05,-0.05
13453,0.01,0.05,-0.04
13476,0.01,0.05,-0.04
13501,0.02,0.04,-0.02
13524,0.01,0.06,-0.04
13548,0.01,0.05,-0.04
13573,0.01,0.06,-0.05
13596,0.01,0.05,-0.04
13620,0.01,0.04,-0.03
13644,0.0,0.05,-0.05
13668,0.02,0.06,-0.04
13691,0.02,0.06,-0.04
13716,0.0,0.05,-0.05
13740,0.01,0.05,-0.04
13764,0.01,0.05,-0.04
13788,0.02,0.06,-0.04
13811,0.01,0.05,-0.04
13836,0.01,0.04,-0.03
13859,0.02,0.06,-0.04
13883,0.0,0.05,-0.05
13907,0.01,0.05,-0.04
13931,0.01,0.06,-0.05
13955,0.01,0.06,-0.04
13979,0.01,0.04,-0.03
14003,0.01,0.05,-0.04
14026,0.01,0.05,-0.04
14051,0.02,0.05,-0.03
14074,0.01,0.05,-0.04
14099,0.01,0.05,-0.04
14123,0.02,0.05,-0.03
14146,0.02,0.05,-0.03
14171,0.01,0.04,-0.03
14194,0.01,0.04,-0.03
14218,0.02,0.05,-0.03
14242,0.02,0.06,-0.04
14266,0.01,0.05,-0.04
14289,0.01,0.05,-0.04
14314,0.0,0.06,-0.05
14338,0.01,0.05,-0.03
14362,0.01,0.04,-0.03
14386,0.01,0.05,-0.03
14409,0.01,0.05,-0.04
14434,0.01,0.05,-0.04
14457,0.01,0.04,-0.03
14481,0.01,0.04,-0.03
14505,0.01,0.06,-0.04
14529,0.0,0.05,-0.05
14553,0.01,0.04,-0.03
14577,0.02,0.05,-0.03
14601,0.02,0.05,-0.03
14624,0.01,0.06,-0.05
14649,0.01,0.05,-0.04
14672,0.01,0.05,-0.04
14697,0.0,0.05,-0.05
14721,0.01,0.04,-0.03
14744,0.01,0.05,-0.03
14769,0.01,0.05,-0.04
14792,0.01,0.05,-0.03
14816,0.01,0.05,-0.04
14840,0.02,0.05,-0.03
14864,0.02,0.05,-0.03
14887,0.01,0.05,-0.04
14912,0.0,0.06,-0.05
14936,0.02,0.04,-0.02
14959,0.01,0.06,-0.05
14984,0.01,0.05,-0.04
15007,0.01,0.05,-0.04
15032,0.01,0.06,-0.04
15055,0.0,0.05,-0.04
15079,0.01,0.05,-0.04
15104,0.0,0.05,-0.05
15127,0.02,0.05,-0.03
15151,0.02,0.05,-0.03
15175,0.01,0.05,-0.03
15199,0.01,0.05,-0.04
15222,0.01,0.06,-0.04
15247,0.01,0.06,-0.05
15270,0.0,0.06,-0.06
15295,0.01,0.05,-0.04
15319,0.01,0.06,-0.04
15342,0.0,0.06,-0.05
15367,0.01,0.04,-0.02
15390,0.01,0.05,-0.03
15414,0.02,0.06,-0.04
15438,0.01,0.06,-0.04
15462,0.01,0.05,-0.04
15485,0.01,0.06,-0.05
15510,0.02,0.05,-0.03
15534,0.01,0.06,-0.05
15557,0.0,0.05,-0.05
15582,0.01,0.05,-0.04
15605,0.02,0.06,-0.04
15630,0.0,0.05,-0.05
15653,0.01,0.05,-0.04
15677,0.02,0.05,-0.03
15702,0.02,0.05,-0.03
15725,0.0,0.04,-0.04
15749,0.01,0.05,-0.04
15773,0.02,0.05,-0.03
15797,0.01,0.05,-0.04
15820,0.01,0.05,-0.04
15845,0.01,0.05,-0.04
15868,0.01,0.05,-0.04
15893,0.0,0.04,-0.04
15917,0.01,0.05,-0.04
15940,0.01,0.05,-0.04
15965,0.01,0.06,-0.04
15988,0.01,0.06,-0.04
16012,0.0,0.05,-0.04
16036,0.01,0.06,-0.04
16060,0.01,0.06,-0.05
16083,0.0,0.05,-0.05
16108,0.01,0.05,-0.04
16132,0.01,0.05,-0.03
16155,0.01,0.05,-0.04
16180,0.01,0.06,-0.05
16203,0.01,0.06,-0.05
16228,0.01,0.05,-0.04
16251,0.02,0.05,-0.03
16275,0.01,0.04,-0.03
16300,0.01,0.05,-0.04
16323,0.02,0.05,-0.03
16347,0.02,0.06,-0.04
16371,0.01,0.04,-0.03
16395,0.03,0.06,-0.03
16418,0.02,0.05,-0.03
16443,0.01,0.05,-0.04
16466,0.0,0.04,-0.04
16490,0.01,0.05,-0.04
16515,0.01,0.05,-0.04
16538,0.01,0.05,-0.03
16563,0.0,0.05,-0.05
16586,0.01,0.07,-0.05
16610,0.02,0.05,-0.03
16634,0.01,0.05,-0.04
16658,0.01,0.05,-0.04
16681,0.02,0.05,-0.03
16706,0.01,0.05,-0.04
16730,0.01,0.05,-0.04
16753,0.02,0.06,-0.04
16778,0.02,0.06,-0.04
16801,0.01,0.06,-0.05
16826,0.01,0.05,-0.04
16849,0.01,0.05,-0.04
16873,0.0,0.06,-0.05
16898,0.0,0.06,-0.06
16921,0.01,0.04,-0.03
16945,0.02,0.05,-0.03
16969,0.01,0.06,-0.05
16993,0.0,0.06,-0.06
17016,0.0,0.04,-0.04
17041,0.02,0.05,-0.03
17064,0.02,0.05,-0.03
17088,0.0,0.05,-0.05
17113,0.01,0.05,-0.04
17136,0.01,0.06,-0.04
17161,0.02,0.06,-0.04
17184,0.01,0.05,-0.04
17208,0.02,0.05,-0.02
17232,0.02,0.05,-0.03
17256,0.01,0.06,-0.05
17280,0.01,0.05,-0.04
17304,0.03,0.05,-0.02
17328,0.02,0.05,-0.03
17351,0.0,0.05,-0.04
17376,0.02,0.06,-0.04
17399,0.01,0.05,-0.04
17424,0.02,0.06,-0.04
17447,0.0,0.06,-0.05
17471,0.0,0.05,-0.05
17496,0.02,0.05,-0.03
17519,0.0,0.05,-0.04
17543,0.01,0.05,-0.04
17567,0.01,0.04,-0.03
17591,0.01,0.05,-0.04
17614,0.02,0.06,-0.04
17639,0.0,0.04,-0.04
17662,0.01,0.06,-0.04
17686,0.02,0.05,-0.03
17711,0.01,0.05,-0.04
17734,0.01,0.05,-0.03
17759,0.01,0.06,-0.05
17782,0.02,0.05,-0.03
17806,0.0,0.05,-0.05
17830,0.0,0.04,-0.04
17854,0.01,0.05,-0.03
17878,0.01,0.06,-0.04
17902,0.02,0.05,-0.03
17926,0.01,0.05,-0.04
17949,0.01,0.06,-0.04
17974,0.01,0.04,-0.03
17997,0.01,0.04,-0.02
18021,0.01,0.05,-0.04
18045,0.01,0.05,-0.04
18069,0.02,0.05,-0.03
18094,0.01,0.04,-0.03
18117,0.0,0.05,-0.04
18141,0.01,0.05,-0.04
18165,0.01,0.04,-0.03
18189,0.01,0.04,-0.03
18212,0.01,0.05,-0.04
18237,0.02,0.06,-0.04
18260,0.02,0.05,-0.03
18284,0.01,0.06,-0.04
18309,0.01,0.05,-0.04
18332,0.01,0.05,-0.04
18357,0.01,0.05,-0.04
18380,0.01,0.05,-0.04
18404,0.01,0.05,-0.04
18428,0.02,0.06,-0.04
18452,0.0,0.06,-0.05
18476,0.01,0.06,-0.05
18500,0.02,0.05,-0.03
18524,0.01,0.05,-0.04
18547,0.0,0.05,-0.05
18572,0.01,0.07,-0.05
18595,0.01,0.05,-0.03
18619,0.0,0.05,-0.05
18643,0.02,0.04,-0.02
18667,0.01,0.05,-0.04
18692,0.02,0.05,-0.03
18715,0.02,0.06,-0.04
18739,0.01,0.05,-0.03
18763,0.02,0.05,-0.03
18787,0.02,0.06,-0.04
18810,0.01,0.06,-0.05
18835,0.0,0.04,-0.04
18859,0.01,0.05,-0.03
18882,0.02,0.05,-0.03
18907,0.01,0.04,-0.03
18930,0.0,0.04,-0.04
18955,0.01,0.05,-0.04
18978,0.02,0.06,-0.04
19002,0.01,0.05,-0.03
19026,0.01,0.05,-0.04
19050,0.02,0.06,-0.04
19074,0.02,0.06,-0.04
19098,0.01,0.05,-0.04
19122,0.01,0.07,-0.05
19145,0.02,0.06,-0.04
19170,0.0,0.05,-0.04
19193,0.01,0.05,-0.03
19217,0.02,0.06,-0.04
19241,0.01,0.05,-0.04
19265,0.02,0.06,-0.04
19290,0.01,0.04,-0.03
19313,0.02,0.05,-0.03
19337,0.01,0.06,-0.05
19361,0.01,0.05,-0.04
19385,0.01,0.04,-0.03
19408,0.0,0.05,-0.05
19433,0.0,0.05,-0.04
19457,0.01,0.05,-0.04
19480,0.01,0.05,-0.04
19505,0.02,0.06,-0.04
19528,0.01,0.06,-0.05
19552,0.0,0.05,-0.05
19576,0.01,0.05,-0.04
19600,0.01,0.05,-0.04
19624,0.02,0.05,-0.03
19648,0.01,0.05,-0.04
19672,0.02,0.06,-0.04
19696,0.02,0.06,-0.04
19720,0.02,0.06,-0.04
19743,0.01,0.05,-0.03
19768,0.02,0.05,-0.03
19791,0.02,0.06,-0.04
19815,0.0,0.05,-0.04
19840,0.01,0.04,-0.03
19863,0.02,0.05,-0.03
19888,0.02,0.06,-0.04
19911,0.01,0.06,-0.04
19935,0.01,0.05,-0.04
19959,0.01,0.06,-0.05
19983,0.02,0.04,-0.02
20006,0.0,0.04,-0.04
20031,0.01,0.05,-0.03
20055,0.01,0.05,-0.04
20078,0.01,0.05,-0.04
20103,0.01,0.05,-0.04
20126,0.01,0.05,-0.03
20150,0.01,0.04,-0.03
20174,0.01,0.05,-0.04
20198,0.01,0.04,-0.03
20222,0.01,0.06,-0.04
